File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B3_D8,Eight,2216.205902733,1,5,0.2665647425,16.6666666667,25,0,0,0,28.5714285714,0,0,0,0,66.6666666667,0,0,22.2222222222,0
B3_D9,Nine,2317.9521011663,1,4,0.518744006,28.5714285714,28.5714285714,33.3333333333,20,66.6666666667,44.4444444444,28.5714285714,33.3333333333,28.5714285714,18.1818181818,75,0,40,33.3333333333,28.5714285714
B3_LA,Alpha,2791.4528155934,1,5,0.6614454956,18.1818181818,22.2222222222,0,18.1818181818,40,25,44.4444444444,22.2222222222,22.2222222222,0,44.4444444444,28.5714285714,28.5714285714,25,20
B3_LE,Echo,2996.8926744949,1,4,0.1341957002,23.5294117647,0,0,22.2222222222,50,0,57.1428571429,28.5714285714,20,33.3333333333,25,57.1428571429,44.4444444444,28.5714285714,20
B3_LG,Golf,1538.412493449,1,4,-0.0788998513,33.3333333333,33.3333333333,44.4444444444,33.3333333333,33.3333333333,17.3913043478,33.3333333333,33.3333333333,33.3333333333,33.3333333333,0,25,33.3333333333,33.3333333333,50
B3_LI,India,3535.2711077204,1,5,0.6443242654,9.0909090909,40,0,0,33.3333333333,25,30.7692307692,36.3636363636,60,0,46.1538461538,33.3333333333,22.2222222222,25,44.4444444444
B3_LM,Mike,2317.9521011663,1,4,-0.3157780769,0,25,33.3333333333,33.3333333333,0,20,0,0,0,0,0,0,0,0,0
B3_LO,Oscar,1612.700935298,1,5,0.4835819032,18.1818181818,40,28.5714285714,0,54.5454545455,22.2222222222,36.3636363636,0,25,28.5714285714,36.3636363636,22.2222222222,22.2222222222,25,36.3636363636
B3_LX,X-ray,2271.9312321003,1,5,0.6317196645,16.6666666667,28.5714285714,0,0,46.1538461538,20,44.4444444444,44.4444444444,33.3333333333,20,20,25,0,15.3846153846,42.8571428571
B3_UW100,crayon,2995.7455104503,1,6,0.744271926,18.1818181818,44.4444444444,0,36.3636363636,61.5384615385,0,36.3636363636,22.2222222222,0,0,60,0,36.3636363636,44.4444444444,54.5454545455
